user_id,p_action,post,reply,retweet
1,0.0,0.5390938187483828,0.010437536171338734,0.4504686450802785
2,0.0,0.5895038507998652,0.0,0.41049614920013483
3,0.0,0.8465946922430787,0.08736737163121129,0.06603793612570993
4,0.0,0.33218997347396295,0.0,0.6678100265260369
5,0.0,0.0,1.0,0.0
6,0.0,0.6209860133397461,0.0,0.3790139866602538
7,0.0,0.6533669178220441,0.10270756566073587,0.24392551651721997
8,0.0,0.708563540138701,0.0,0.29143645986129885
9,0.0,0.900363855988999,0.032148051618762635,0.06748809239223844
10,0.0,0.4183863276179415,0.0,0.5816136723820584
11,0.0,0.48293765967705365,0.010695770999204409,0.5063665693237419
12,0.0,0.6187595421577724,0.03400911751462569,0.34723134032760183
13,0.0,0.3856907683500002,0.013001906556765553,0.6013073250932343
14,0.0,0.5715450919947134,0.0,0.4284549080052867
15,0.0,0.6783343373409669,0.05967135981856652,0.26199430284046654
16,0.0,0.30198787030524676,0.09401945956325644,0.6039926701314967
17,0.0,0.6765587912670566,0.07815341327088829,0.24528779546205493
18,0.0,0.24699706888464698,0.03157587593530644,0.7214270551800466
19,0.0,0.2317462714946602,0.08653675062571653,0.6817169778796233
20,0.0,0.8973590395447327,0.0,0.10264096045526719
21,0.0,0.33109790472849854,0.0,0.6689020952715015
22,0.0,0.6006724533157141,0.07444051773468734,0.32488702894959876
23,0.0,0.6282854141551187,0.07758220687402517,0.29413237897085603
24,0.0,0.0,0.04952027835842531,0.9504797216415748
25,0.0,0.5016335904865873,0.0,0.4983664095134127
26,0.0,0.18787101655757307,0.0,0.8121289834424269
27,0.0,0.5129427585970042,0.16758563149564298,0.3194716099073528
28,0.0,1.0,0.0,0.0
29,0.0,0.2134346460589299,0.10534536799063991,0.6812199859504302
30,0.0,0.5389364806262179,0.0,0.46106351937378226
31,0.0,0.5979925857452687,0.195092851059891,0.20691456319484028
32,0.0,0.32694355210675236,0.04348937823982685,0.6295670696534208
33,0.0,1.0,0.0,0.0
34,0.0,0.1417191106189441,0.08136488078198276,0.7769160085990732
35,0.0,0.46872696793912466,0.0,0.5312730320608753
36,0.0,0.23288462065966092,0.0,0.7671153793403391
37,0.0,0.0,0.32174774011906215,0.6782522598809378
38,0.0,0.6107790152905207,0.016717091248005557,0.37250389346147367
39,0.0,0.5109539026985747,0.0,0.48904609730142534
40,0.0,0.5104664958108829,0.059466864875409406,0.43006663931370764
41,0.0,0.661684432811039,0.0752387369566593,0.2630768302323018
42,0.0,0.6079644198546094,0.06678915751265832,0.3252464226327324
43,0.0,0.39160899038120867,0.16398389716332448,0.4444071124554669
44,0.0,0.3752657383809807,0.0,0.6247342616190193
45,0.0,0.6127800861626849,0.1197646773778363,0.2674552364594788
46,0.0,0.5271369834706429,0.08171379002146656,0.3911492265078906
47,0.0,0.0,0.23397699593943827,0.7660230040605617
48,0.0,0.5951037469956693,0.045544593174866005,0.3593516598294648
49,0.0,1.0,0.0,0.0
50,0.0,0.4504506455684584,0.0,0.5495493544315416
